Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
53,Life Is Good (feat. Drake),Future,310820,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,2020,1,31,in,0.676,0.609,2,-5.831,0,0.481,0.0706,0,0.152,0.508,142.037,237735,4
54,"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,307602,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS,2020,1,31,in,0.515,0.691,5,-4.028,0,0.0344,0.624,0,0.121,0.484,169.521,226789,3
55,Someone You Loved,Lewis Capaldi,307080,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020,1,31,in,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
56,Kamaal,Badshah,303404,https://open.spotify.com/track/1q7W78ZYL9iqyYeVONU2hg,2020,1,31,in,0.847,0.552,2,-12.189,1,0.26,0.199,1.68e-06,0.142,0.748,99.997,178200,4
57,"Naah Goriye (From ""Bala"")",B Praak,302307,https://open.spotify.com/track/1CM4rFDU9q4EoLy2K44qE6,2020,1,31,in,0.823,0.765,2,-1.695,0,0.0633,0.464,0,0.0601,0.715,99.96,184618,4
58,"Sip Sip 2.0 (From ""Street Dancer 3D"")",Garry Sandhu,299457,https://open.spotify.com/track/7Jo4yv6Iiwxla5z10lE1L9,2020,1,31,in,0.842,0.877,5,-2.134,0,0.177,0.114,0.000225,0.0824,0.506,93.991,219970,4
59,Takeaway,The Chainsmokers,296039,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw,2020,1,31,in,0.528,0.511,3,-8.144,1,0.0324,0.126,0,0.101,0.351,100.1,209880,4
60,Old Skool,Prem Dhillon Ft. Sidhu Moosewala,291900,https://open.spotify.com/track/76IXpU3ve4gHmvcduUN88d,2020,1,31,in,0.776,0.6,6,-6.958,1,0.324,0.208,0,0.271,0.875,87.973,253675,4
61,Can We Kiss Forever?,Kina,288353,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne,2020,1,31,in,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,187932,4
62,Bombay to Punjab,Deep Jandu,285061,https://open.spotify.com/track/1xoQjCAP6a63tZXbsMziXk,2020,1,31,in,0.584,0.739,0,-4.951,1,0.369,0.117,0,0.0534,0.361,200.105,243298,4
