Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
60,HIGHEST IN THE ROOM,Travis Scott,395510,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,2020,5,29,au,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
61,Never Seen the Rain,Tones And I,393637,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV,2020,5,29,au,0.485,0.461,9,-5.646,1,0.0444,0.44,0,0.232,0.324,87.009,200756,4
62,bad guy,Billie Eilish,393292,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2020,5,29,au,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
63,Rain,Aitch,393204,https://open.spotify.com/track/7h2ozcUpSL7ulXjRPPQcDy,2020,5,29,au,0.87,0.87,9,-4.797,1,0.202,0.0266,1.95e-06,0.109,0.83,150.145,183066,4
64,BELIEVE IT,PARTYNEXTDOOR,391925,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD,2020,5,29,au,0.43,0.7,6,-5.35,1,0.264,0.0902,0,0.216,0.731,158.373,183219,4
65,Righteous,Juice WRLD,391174,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,2020,5,29,au,0.707,0.622,0,-6.951,1,0.031,0.0397,0,0.149,0.223,142.942,243357,4
66,Bruises,Lewis Capaldi,389283,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,2020,5,29,au,0.736,0.308,4,-7.83,1,0.0677,0.946,0,0.186,0.361,111.202,220492,4
67,Deep End Freestyle,Sleepy Hallow,388010,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK,2020,5,29,au,0.876,0.479,4,-6.687,0,0.44,0.703,0,0.102,0.776,133.858,115200,4
68,Look into My Eyes,Brando,387830,https://open.spotify.com/track/7qF4tAE0PF6XJFEor6jQni,2020,5,29,au,0.789,0.545,6,-7.14,1,0.0538,0.122,4.62e-05,0.123,0.433,116.0,154654,4
69,CITY OF ANGELS,24kGoldn,386785,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq,2020,5,29,au,0.686,0.541,0,-4.993,0,0.0493,0.042,0,0.0675,0.724,120.082,112493,4
70,Maniac,Conan Gray,385787,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4,2020,5,29,au,0.628,0.639,8,-5.46,1,0.0435,0.00162,0,0.354,0.493,108.045,185773,4
71,Stupid Love,Lady Gaga,382964,https://open.spotify.com/track/7yBbV2k2S2uhaQc24NF2xt,2020,5,29,au,0.68,0.825,8,-4.296,1,0.0702,0.00173,0.000122,0.27,0.784,117.987,193533,4
72,Be Alright,Dean Lewis,380257,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,2020,5,29,au,0.551,0.537,11,-7.595,1,0.034,0.705,0,0.0802,0.493,126.421,196493,4
73,Shallow,Lady Gaga,374728,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2020,5,29,au,0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,215733,4
