Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
74,Ouvi Dizer,Melim,1095747,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV,2019,11,29,br,0.641,0.614,7,-7.847,1,0.0532,0.0745,0,0.093,0.727,81.011,210889,4
75,Dois Lados,Wesley Safadão,1093130,https://open.spotify.com/track/3vSXPjfcebTt5mB8DXHWM6,2019,11,29,br,0.664,0.852,1,-4.059,1,0.0534,0.417,0,0.101,0.934,160.035,147187,4
76,Milu,Gusttavo Lima,1078158,https://open.spotify.com/track/1nqaSoiLuqevDes4S18sO7,2019,11,29,br,0.845,0.787,2,-2.683,1,0.0374,0.261,3.43e-06,0.102,0.882,124.983,224997,4
77,Dois Enganados,Murilo Huff,1070737,https://open.spotify.com/track/72N0CRIAqjETbhghrkCUW2,2019,11,29,br,0.711,0.56,1,-4.098,1,0.0355,0.699,0,0.857,0.504,105.05,172751,4
78,Teu Segredo - Ao Vivo,Vou pro Sereno,1063217,https://open.spotify.com/track/3kySOLOrkLeOPvu3HXEgVz,2019,11,29,br,0.5,0.672,9,-7.363,1,0.0433,0.674,0,0.971,0.538,80.479,182861,4
79,Péssimo Negócio (Ao Vivo),Dilsinho,1054559,https://open.spotify.com/track/5MMrkwK6AgNAsgHVdC7daZ,2019,11,29,br,0.538,0.651,10,-5.805,1,0.0336,0.801,0,0.948,0.544,148.03,201378,4
80,Poesia Acústica #6: Era uma Vez,Pineapple StormTv,1039294,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr,2019,11,29,br,0.518,0.575,5,-10.454,0,0.0524,0.427,0,0.153,0.577,93.885,577819,4
81,Fingindo Maturidade - Ao Vivo,Mano Walter,1033719,https://open.spotify.com/track/3tU3UAasaDA9OixXGC3O33,2019,11,29,br,0.577,0.919,5,-3.194,1,0.0982,0.286,0,0.943,0.736,166.059,189003,4
82,Vai menina,PEDRO SAMPAIO,1016181,https://open.spotify.com/track/1oQppEGTHYN53xfEaTz4ua,2019,11,29,br,0.795,0.878,1,-3.261,0,0.278,0.413,0,0.0968,0.963,149.971,122435,4
83,Maldita de Ex,Mc Leozin,1016142,https://open.spotify.com/track/6Diq6oBnDVzsrNcRllXRbM,2019,11,29,br,0.811,0.583,6,-0.969,0,0.0306,0.194,0.000256,0.0685,0.673,133.054,164258,4
84,Circles,Post Malone,1008819,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019,11,29,br,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
85,Não Abro Mão - Ao Vivo,Maiara & Maraisa,1007574,https://open.spotify.com/track/3L2uyIJoJPjYkSETVNSPBQ,2019,11,29,br,0.615,0.499,1,-3.182,0,0.0378,0.892,0,0.945,0.588,94.798,180629,4
86,Mágica - Ao Vivo,Matheus & Kauan,1004007,https://open.spotify.com/track/5cN5ZOVcYBl4Lnq50Zeqsx,2019,11,29,br,0.568,0.698,1,-5.438,1,0.0727,0.629,0,0.0999,0.534,121.663,161598,4
87,I Don't Care (with Justin Bieber),Ed Sheeran,985505,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2019,11,29,br,0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,219947,4
88,Amor de Fim de Noite,Orochi,978581,https://open.spotify.com/track/0nDnvGagGAQP5vpgCyS5yH,2019,11,29,br,0.472,0.427,7,-9.693,0,0.0664,0.841,0,0.0839,0.692,139.532,221143,4
89,bad guy,Billie Eilish,977942,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019,11,29,br,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
90,Maturidade (feat. Matheus & Kauan),Avine Vinny,977456,https://open.spotify.com/track/64ePZsgVWO1zRVpHxY2VYC,2019,11,29,br,0.603,0.865,7,-3.866,0,0.0516,0.543,0,0.704,0.759,148.019,193525,4
91,Deixa (feat. Ana Gabriela),Lagum,972311,https://open.spotify.com/track/3fLqmaO4vvZpFZSZy52VMp,2019,11,29,br,0.498,0.326,0,-8.223,1,0.0631,0.821,0,0.193,0.323,81.457,176025,4
92,MIL GRAU,Gloria Groove,970441,https://open.spotify.com/track/4BkjISAYyQ6OMnEpzpQxgA,2019,11,29,br,0.822,0.977,10,-1.431,0,0.0509,0.462,1.17e-06,0.0489,0.824,97.094,145979,4
93,Hoje Eu Beberei - Ao Vivo,Felipe Araújo,966111,https://open.spotify.com/track/4rnI4obabjGCPI2CCCs5VR,2019,11,29,br,0.709,0.905,2,-2.91,1,0.0461,0.353,0,0.955,0.808,125.013,149696,4
94,Poesia Acústica #7: Céu Azul,Pineapple StormTv,962213,https://open.spotify.com/track/2FGhB10Gon36GgFcOTMQEW,2019,11,29,br,0.795,0.697,9,-4.276,0,0.31,0.0873,0,0.0997,0.542,102.756,572039,4
95,Ela É do Tipo,MC Kevin o Chris,961959,https://open.spotify.com/track/2x8TNY9KwNvD19gVGs4WOP,2019,11,29,br,0.632,0.398,6,-6.615,1,0.373,0.945,0,0.228,0.633,90.695,204931,4
