Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
26,La Jeepeta - Remix,Nio Garcia,13954221,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2,2020,9,4,global,0.814,0.714,4,-4.65,0,0.207,0.297,4.89e-06,0.091,0.789,176.013,345241,4
27,Tattoo - Remix with Camilo,Rauw Alejandro,13778030,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S,2020,9,4,global,0.848,0.637,9,-5.132,1,0.156,0.0413,0,0.0521,0.698,96.988,222680,4
28,Rain On Me (with Ariana Grande),Lady Gaga,13381395,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020,9,4,global,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,182200,4
29,Midnight Sky,Miley Cyrus,13329803,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,2020,9,4,global,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110.0,223279,4
30,Someone You Loved,Lewis Capaldi,13135910,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020,9,4,global,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
31,Relación,Sech,12602120,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ,2020,9,4,global,0.805,0.562,7,-3.117,0,0.105,0.125,4.96e-06,0.148,0.767,172.094,184255,4
32,Wishing Well,Juice WRLD,12563974,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv,2020,9,4,global,0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,194621,4
33,Before You Go,Lewis Capaldi,12553921,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2020,9,4,global,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,215107,4
34,Smile (with The Weeknd),Juice WRLD,12486046,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,2020,9,4,global,0.694,0.685,6,-6.535,0,0.133,0.224,0,0.124,0.306,158.831,196180,4
35,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,12382594,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,2020,9,4,global,0.904,0.723,11,-5.224,0,0.26,0.0631,0,0.185,0.835,145.013,227478,4
36,death bed (coffee for your head),Powfu,12340202,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020,9,4,global,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,173333,4
37,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,12056457,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp,2020,9,4,global,0.76,0.658,7,-5.275,1,0.275,0.162,0,0.195,0.565,100.202,157944,4
38,GREECE (feat. Drake),DJ Khaled,11773788,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad,2020,9,4,global,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,218902,4
39,Go Crazy,Chris Brown,11683727,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK,2020,9,4,global,0.755,0.578,0,-8.932,0,0.145,0.316,0,0.25,0.581,94.148,176960,4
40,Relación - Remix,Sech,11507291,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,2020,9,4,global,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,247308,4
41,Don't Start Now,Dua Lipa,11198787,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020,9,4,global,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,183290,4
42,Blueberry Faygo,Lil Mosey,11058413,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,2020,9,4,global,0.774,0.554,0,-7.909,1,0.0383,0.207,0,0.132,0.349,99.034,162547,4
43,How You Like That,BLACKPINK,10766394,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,2020,9,4,global,0.828,0.782,11,-4.014,1,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,181264,4
44,Break My Heart,Dua Lipa,10664080,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,2020,9,4,global,0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,221820,4
45,Djadja (feat. Maluma) - Remix,Aya Nakamura,10508296,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g,2020,9,4,global,0.791,0.682,5,-7.328,1,0.158,0.175,0,0.0926,0.672,98.031,166851,4
46,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,10444350,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn,2020,9,4,global,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,201600,4
47,Take You Dancing,Jason Derulo,10382451,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3,2020,9,4,global,0.789,0.711,2,-4.248,1,0.041,0.0332,0,0.0876,0.753,112.985,190306,4
48,Kings & Queens,Ava Max,10373394,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn,2020,9,4,global,0.638,0.688,1,-4.056,0,0.0407,0.00775,0,0.126,0.434,129.856,162399,4
49,ily (i love you baby) (feat. Emilee),Surf Mesa,10198156,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,2020,9,4,global,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,176547,4
50,MAMACITA,Black Eyed Peas,10111863,https://open.spotify.com/track/24IgCW19L8lXKyFZwzFtD3,2020,9,4,global,0.88,0.626,2,-7.062,1,0.0473,0.19,0.000755,0.094,0.441,105.01,251429,4
51,Stuck with U (with Justin Bieber),Ariana Grande,10098648,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020,9,4,global,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,228482,3
52,Mamichula - con Nicki Nicole,Trueno,9457640,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM,2020,9,4,global,0.696,0.678,4,-5.893,0,0.0735,0.582,2.22e-06,0.134,0.346,91.985,219202,4
53,Still Don't Know My Name,Labrinth,9434668,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV,2020,9,4,global,0.316,0.63,5,-5.963,1,0.117,0.471,0.262,0.205,0.313,89.643,153294,1
