Position,Track Name,Artist,Streams,URL,Year,Month,Day,Region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
35,BOP,DaBaby,3450696,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,2019,11,8,us,0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,159715,4
36,Look At Her Now,Selena Gomez,3390491,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,2019,11,8,us,0.563,0.564,10,-7.906,0,0.271,0.114,0.0254,0.304,0.55,154.355,162596,5
37,F.N,Lil Tjay,3385060,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu,2019,11,8,us,0.567,0.515,6,-10.265,0,0.247,0.354,0,0.078,0.321,120.1,224000,1
38,Señorita,Shawn Mendes,3296957,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019,11,8,us,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
39,Panini,Lil Nas X,3290350,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv,2019,11,8,us,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,114893,4
40,Hot Shower,Chance the Rapper,3206821,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf,2019,11,8,us,0.899,0.509,9,-8.04,1,0.387,0.00157,0,0.0573,0.599,150.001,225924,4
41,VALENTINO,24kGoldn,3201117,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh,2019,11,8,us,0.745,0.718,9,-4.853,0,0.183,0.197,0,0.134,0.539,151.097,179133,4
42,Beautiful People (feat. Khalid),Ed Sheeran,3185223,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,2019,11,8,us,0.64,0.647,5,-8.114,0,0.186,0.124,0,0.0801,0.546,92.979,197867,4
43,Enemies (feat. DaBaby),Post Malone,3167438,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF,2019,11,8,us,0.542,0.674,6,-4.169,1,0.21,0.0588,0,0.0955,0.667,76.388,196760,4
44,How Do You Sleep?,Sam Smith,3162439,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019,11,8,us,0.477,0.682,1,-4.931,0,0.0925,0.153,0,0.0763,0.345,110.567,202205,5
45,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,3022917,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,2019,11,8,us,0.668,0.892,5,-3.001,0,0.0645,0.298,0,0.735,0.478,95.927,159011,4
46,Hot (feat. Gunna),Young Thug,3006887,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9,2019,11,8,us,0.855,0.651,0,-8.044,0,0.235,0.063,0,0.0772,0.559,111.997,193027,4
47,The London (feat. J. Cole & Travis Scott),Young Thug,3002140,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n,2019,11,8,us,0.784,0.517,4,-8.981,0,0.209,0.0249,1.44e-06,0.155,0.206,97.991,200187,4
48,Did It Again,Lil Tecca,2974142,https://open.spotify.com/track/4guBZjUyrGoHsTahO3IHdj,2019,11,8,us,0.686,0.561,10,-9.929,0,0.191,0.185,0,0.114,0.186,148.775,116240,4
49,Graveyard,Halsey,2850293,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,2019,11,8,us,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4
50,Somebody,Internet Money,2839629,https://open.spotify.com/track/735RSTb2xbtWbDtKD9XDYi,2019,11,8,us,0.63,0.671,6,-6.659,0,0.256,0.363,0,0.113,0.333,89.921,174333,4
51,MIDDLE CHILD,J. Cole,2810162,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,11,8,us,0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,213594,4
52,Bad Bad Bad (feat. Lil Baby),Young Thug,2758310,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH,2019,11,8,us,0.974,0.596,6,-8.888,1,0.184,0.0976,0,0.151,0.892,111.959,149040,4
